Title,Author,Poem,PoemAnalysis,PoemGoogleCounts
国风·周南·关雎,屈原,"
关关雎鸠，在河之洲。窈窕淑女，君子好逑。
参差荇菜，左右流之。窈窕淑女，寤寐求之。
求之不得，寤寐思服。悠哉悠哉，辗转反侧。
参差荇菜，左右采之。窈窕淑女，琴瑟友之。
参差荇菜，左右芼之。窈窕淑女，钟鼓乐之。
","古人对《关雎》的评价很高，认为它的声、情、文、义都很好，保持了古代诗歌淳朴、自然的风格，因此将它列为《诗经》的第一篇。
《关雎》是一首男女之间的言情之作，描写了一位男子对女子的追求。很多学者认为，《关雎》同时也表现了当时人们的婚姻观。司马迁的《史记》里说：“……夫妻之际，人道之大伦也。”《汉书》里说：“孔子论诗，以《关雎》为始。……此纲纪之首，王教之端也。”尽管这些评论听上去与《关雎》的内容并无关联，但都是由《关雎》引起的。
这首诗主要采用了有“寄托深远，能产生文已尽而意有余”的效果的兴寄表现手法，主要是以雎鸠的“挚而有别”兴淑女应该配君子，以荇菜的“流动无方”兴淑女的难于难求，以荇菜的“既得而采之”、“既得而笔之”兴淑女“既得而友之”、“既得而乐之”等。
理解这首诗，应当从诗义和乐调两方面入手。从诗义方面看，它反映的是民俗，所写的男女爱情是作为民俗反映出来的。据说，古人有在仲春之月会合男女的习俗，《关雎》反映的也许就是这一段史实，表现了古代青年男女之间的爱情。从乐调方面看，为了合于乐调，全诗形成了重章叠句的特点。众所周知，凡是有生气的诗篇，往往都很重视声调的和谐，可以当做歌曲唱出来。由此看来，《关雎》就是这样一首“既诗也歌”的诗歌。",494000
国风·周南·桃夭,屈原,"
桃之夭夭，灼灼其华。之子于归，宜其室家。
桃之夭夭，有蕡其实。之子于归，宜其家室。
桃之夭夭，其叶蓁蓁。之子于归，宜其家人。
","《桃夭》是《诗经·国风》里众多有关婚嫁礼俗的诗歌中最有名的一篇，主要表达了对新婚女子的美好祝愿。
既然是祝贺女子出嫁的诗篇，那么就应该适合在婚礼上演唱，因此，《桃夭》采用了民歌的复沓形式，全篇反复表达的都是对新娘的祝愿，体现了古代人民淳朴、健康的心理和对美好生活的追求。
再看具体内容。桃之夭夭表现的是初春时分初生的桃树枝叶随风摇曳的情景，用灼灼形容桃花，不仅衬托出了桃花的浓艳，也衬托出了桃花的繁茂和勃勃生机。如果说“桃之夭夭”描写的是桃花，那么“有蕡其实”描写的就是果实了。“有蕡其实”不仅表现了果实的丰硕圆润，而且也体现出了果实的色彩，读到这里，读者都似乎能闻到它的香味了。",1430000
国风·邶风·静女,屈原,"
静女其姝，俟我于城隅。爱而不见，搔首踟蹰。
静女其娈，贻我彤管。彤管有炜，说怿女美。
自牧归荑，洵美且异。匪女之为美，美人之贻。
","这首诗描写的是一对青年男女幽会的情景，整篇诗充满着愉快幽默的情趣。全诗以男子的口吻写出，生动地描绘了他们约会的过程，先写男子去赴约，后写女子向男子赠物来表达爱情。
这首诗把男女相会时天真活泼的情景描写得逼真而生动。先是女方故意调皮，躲起来不让男方看见，结果害得男方心急如焚、担惊受怕，还以为女方失约。接着，女方又郑重其事地给男方赠送礼物，借以试探他的情意。而男方则通过“彤管有炜，说怿女美”和“洵美且异，美人之贻”的话，巧妙地向女方表达了自己的感情。
这首诗虽然只有短短的三章十二句，但生动地描绘出了情人幽会时的有趣场面、人物心理和细微感情，甚至还刻画出了男女双方的性格。在思想内容上，这首诗健康向上；在艺术成就上，语言简练、构思巧妙，人物刻画生动逼真，堪称两千多年前的一首佳作。",92000
小雅·采薇,屈原,"
采薇采薇，薇亦作止。
曰归曰归，岁亦莫止。靡室靡家，猃狁之故。
不遑启居，猃狁之故。

采薇采薇，薇亦柔止。
曰归曰归，心亦忧止。忧心烈烈，载饥载渴。
我戍未定，靡使归聘。

采薇采薇，薇亦刚止。
曰归曰归，岁亦阳止。王室靡盬，不遑启处。
忧心孔疚，我行不来。

彼尔维何？维常之华。
彼路斯何？君子之车。戎车既驾，四牡业业。
岂敢定居，一月三捷。

驾彼四牡，四牡骙骙。
君子所依，小人所腓。四牡翼翼，象弭鱼服。
岂不日戒，猃狁孔棘！

昔我往矣，杨柳依依。
今我来思，雨雪霏霏。行道迟迟，载渴载饥。
我心伤悲，莫知我哀！","《采薇》是《诗经·小雅》中的名篇，全诗共分六章，每章八句，描写的是守卫边疆的战士的生活。在题材上，《采薇》堪称是边塞诗的鼻祖。数千年来，这首诗之所以能赢得读者的喜爱，根本原因就在于它在艺术上取得的成功，即创造出了许多千古传诵的佳句。
这首诗在写景方面的一个最大特点就是“以哀景写乐”，这样做既能增强哀乐的对比度，又能增强艺术效果。根据哲学的说法，事物总是充满两面性的，体现在这首诗里，就是没有苦就没有乐。一位驻守边疆的战士终于可以离开军营，回家与家人团圆了。然而，就在他欢天喜地地踏上归程时，却没有想到前面有很多苦难正等着他。在回家的路上，他遇上了雨雪霏霏的坏天气，忍受着饥饿与寒冷的折磨，最后终于到家了。",1090000
二湘（《湘君》、《湘夫人》）,屈原,"君不行兮夷犹，蹇谁留兮中洲？
美要眇兮宜修，沛吾乘兮桂舟。
令沅湘兮无波，使江水兮安流！
望夫君兮未来，吹参差兮谁思？
驾飞龙兮北征，邅吾道兮洞庭。
薛荔柏兮蕙绸，荪桡兮兰旌。
望涔阳兮极浦，横大江兮扬灵。
扬灵兮未极，女婵媛兮为余太息。
横流涕兮潺湲，隐思君兮陫侧。
桂櫂兮兰枻，斫冰兮积雪。
采薛荔兮水中，搴芙蓉兮木末。
心不同兮媒劳，恩不甚兮轻绝。
石濑兮浅浅，飞龙兮翩翩。
交不忠兮怨长，期不信兮告余以不闲。
朝骋骛兮江皋，夕弭节兮北渚。
鸟次兮屋上，水周兮堂下。
捐余玦兮江中，遗余佩兮醴浦。
采芳洲兮杜若，将以遗兮下女。
时不可兮再得，聊逍遥兮容与。

帝子降兮北渚，目眇眇兮愁予。
嫋嫋兮秋风，洞庭波兮木叶下。
登白兮骋望，与佳期兮夕张。
鸟何萃兮中，罾何为兮木上？
沅有茝兮醴有兰，思公子兮未敢言。
荒忽兮远望，观流水兮潺湲。
麋何食兮庭中？蛟何为兮水裔？
朝驰余马兮江皋，夕济兮西澨。
闻佳人兮召余，将腾驾兮偕逝。
筑室兮水中，葺之兮荷盖。
荪壁兮紫坛，播芳椒兮成堂。
桂栋兮兰橑，辛夷楣兮药房。
罔薛荔兮为帷，擗蕙櫋兮既张。
白玉兮为镇，疏石兰兮为芳。
芷葺兮荷屋，缭之兮杜衡。
合百草兮实庭，建芳馨兮庑门。
九嶷缤兮并迎，灵之来兮如云。
捐余袂兮江中，遗余褋兮醴浦。
搴汀洲兮杜若，将以遗兮远者。
时不可兮骤得，聊逍遥兮容与。","《湘君》与《湘夫人》合称“二湘”，是《九歌》中最优美、最抒情的诗篇之一。一般认为，湘君和湘夫人是一对湘水配偶神，《湘君》是女神的唱词，表达了对湘君的思念；《湘夫人》则是男神的唱词，表达了对湘夫人的思念。但从内容上看，它其实只是描写湘夫人一个人的活动和思绪的诗篇，有人据此认为，《湘君》与《湘夫人》本来应该是一篇，后来分为两篇。
第一篇里主要描写了湘夫人对湘君的思念与追寻，以及寻而不得的失望与哀怨；第二章主要描写了湘夫人久久等待湘君，但湘君却迟迟不来，湘夫人心生焦虑和幻想的情景。在第一篇里，湘夫人经过一天的追寻，终于到了北渚。第二篇又继续写了她到了北渚之后，渴望与湘君相会的心情。全诗通过对湘夫人爱情心理虚实交替的描写，成功地塑造了一个苦苦追求爱情的女子形象。纵观全诗，读者能领略到一个动人的爱情悲剧。
尽管湘夫人苦苦追求的爱情迟迟没有来，而且她的爱人始终没有出现，可是她真的放弃和释怀了吗？在极端失望之中，她毅然把十分珍惜的定情之物扔到了江中，以表自己决绝之心，又把香花赠予侍女。看上去，她已经放弃和释怀了，但实际上，也许思念永留她心中。
这是一首写湘水女神的祭歌，由巫师扮作男神湘君来独唱。全篇表达出湘君对湘夫人的思念，以及惆怅、迷惘的心情。大致可分为三部分。
第一部分首先写湘君迟迟未至，湘夫人直迎寻至北渚相见。开篇四句有上佳的写景语句，勾勒出一幅幅清秋的意象：秋风轻拂，洞庭湖水荡漾起微波，枯黄的树叶凋零飘落，站立在水边的主人公正纵目远望。寥寥数语，写出了时节和环境，营造出一种萧瑟凄凉的氛围。其实，这只是湘君在幻觉中感受到的所爱之人的举动，反衬出湘君见不到所爱之人的惆怅和凄婉。
推想自己的爱人在等候，深秋却带来了凉意，可想感情上自己有多寂寞！诗人起笔描摹景致于虚无缥缈之中，让身在其中的人真可谓神情欲活，如此寓情于景，融情景为一，密合无间，让人有无尽遐想。接着，写湘君的失意和落寞。与佳人相期有约，却迟迟不见所爱之人，湘君无法遏抑急切的心情登高远望，热切盼她的到来。望眼欲穿，最后期望化为失望，钟情受到了冷落。此时，只有潺湲的水声还在流动，热念中的人却不知身在何处。于是，意念中出现了颠倒错乱的景象，这一切都说明湘夫人的爽约让湘君是多么苦痛。而当仿佛听到“佳人”的召唤时，湘君重振精神，驾车赶至约会的地点。从后面的文字来看，这一切并非真实的，只不过出现在一个痴情者的幻觉之中，即所谓的“因痴生幻，以幻为真”。
第二部分写湘君和湘夫人见面之后对新居的美好构想。诗人驰骋想象，把理想住所的蓝图和特有的审美趣味传达出来。这些构想象征着主人公的正直、纯洁和美善，表达出对真挚爱情的珍视。湘君还想象到了湘夫人降临时的热闹场面，宾至如云，烘托出他对幸福生活的向往之情。同样，这也是以虚幻之景表达无比炽烈之情。
第三部分写湘君之情的“反复”。幻，终究还是幻，当梦幻碰到坚硬的现实时，主人公的失望加剧，于是自然而然有决绝之词。但回想自己与湘夫人的爱情毕竟是纯真的、坚贞的，即以杜若赠予远居的爱人。
全篇都在描写此恨绵绵、生死契阔的男女之情。极富浪漫主义的想象和比兴手法，让作品显得深婉细致，读来令人不禁为之唏嘘感慨。",5510
山鬼,屈原,"若有人兮山之阿，被薛荔兮带女萝。
既含睇兮又宜笑，子慕予兮善窈窕。
乘赤豹兮从文狸，辛夷车兮结桂旗。
被石兰兮带杜衡，折芳馨兮遗所思。
余处幽篁兮终不见天，路险难兮独后来。
表独立兮山之上，云容容兮而在下。
杳冥冥兮羌昼晦，东风飘兮神灵雨。
留灵修兮憺忘归，岁既晏兮孰华予？
采三秀兮于山间，石磊磊兮葛蔓蔓。
怨公子兮怅忘归，君思我兮不得闲。
山中人兮芳杜若，饮石泉兮荫松柏。
君思我兮然疑作。
雷填填兮雨冥冥，猨啾啾兮狖夜鸣。
风飒飒兮木萧萧，思公子兮徒离忧。
","山鬼，即山神，按照郭沫若先生的说法，这里的山鬼，即宋玉《高唐赋》中所写的巫山神女。
本诗介于抒情诗与叙事诗之间，描述了神女的爱情故事，情节清晰、场景生动。主要内容是写女神去赴约会，然而对方并没有如约出现，女神伤心失望，感到无限的痛苦。心理描写非常细腻，我们会不由自主地忘记她作为山神的身份，而把她当做一个多情而柔美的凡间女子。
当然，这个爱情故事，有一个独特的背景和氛围。女神出场，如同大自然的精灵，薛荔为衣，女萝为带，浑身散发着山间的灵秀之气，美丽而清澈。赤豹为驾，文狸随后，香车桂旗，又在华美之中充溢着威严。总的看来，女神的形象，是秀美、华贵、威严的混合体，在大自然的背景中，是超凡脱俗的，也可以说是“惊艳”的。而若隐若现、飘忽迷离的感觉，又平添了几分神秘感。
不过，“含睇”、“宜笑”等句，将这个神秘的女子拉回了凡间。她也像凡间女子一样，对爱情充满憧憬。女神很自信，她幸福地设想，如果意中人此刻看到自己，那会是怎样的爱慕啊！
然而，情人并未准时赴约，女神于是登山远眺。“表独立兮山之上，云容容兮而在下”二句，描绘了感人至深的场面：女神站在山顶，望着情人可能来的路。脚下，是茫茫的云海。在苍茫广阔的背景下，女神的身影显得孤单而执著。
等了很久，情人仍然没有到来。天气越来越坏了，浓云密布，阴雨如晦。这几句既是写景，同时也是写情。“岁既晏兮孰华予”，既是说时光流逝，天色已暗，同时也表达了女神对于青春难驻的感慨。如此令人惊艳的美人，突发迟暮之感，是多么让人为之感伤啊！
“君思我兮不得闲”，是为对方开脱。但这种自我安慰，最终还是无法平复失恋的痛苦。按照清代学者陈本礼的说法，此句“既怨之，复谅之，状鬼之声情独绝”，一片痴心呼之欲出。
不少学者认为，这首诗跟屈原的大多数作品一样，实际上是借男女之情来比喻君臣之义。这个观点应该是不太恰当的。诗中所写，无论是自然景色，还是女神的感情描写，都具有浓重的尘世气息和深切的真情实感，我们从中看不到“言在此而意在彼”的痕迹。",142000
哀郢,屈原,"
皇天之不纯命兮，何百姓之震愆？
民离散而相失兮，方仲春而东迁。
去故乡而就远兮，遵江夏以流亡。
出国门而轸怀兮，甲之朝吾以行。
发郢都而去闾兮，怊荒忽兮焉极？
楫齐扬以容与兮，哀见君而不再得。
望长楸而太息兮，涕淫淫其若霰。
过夏首而西浮兮，顾龙门而不见。
心婵媛而伤怀兮，眇不知其所蹠。
顺风波以从流兮，焉洋洋而为客。
凌阳侯之汜滥兮，忽翱翔之焉薄？
心结而不解兮，思蹇产而不释。
将运舟而下浮兮，上洞庭而下江。
去终古之所居兮，今逍遥而来东。
羌灵魂之欲归兮，何须臾而忘反。
背夏浦而西思兮，哀故都之日远。
登大坟以远望兮，聊以舒吾忧心。
哀州土之平乐兮，悲江介之遗风。
当陵阳之焉至兮，淼南渡之焉如？
曾不知夏之为丘兮，孰两东门之可芜？
心不怡之长久兮，忧与愁其相接。
唯郢路之辽远兮，江与夏之不可涉。
忽若不信兮，至今九年而不复。
惨郁郁而不通兮，蹇侘傺而含戚。
外承欢之汋约兮，谌荏弱而难持。
忠湛湛而愿进兮，妒被离而鄣之。
尧舜之抗行兮，瞭杳杳而薄天。
众谗人之嫉妒兮，被以不慈之伪名。
憎愠惀之修美兮，好夫人之忼慨。
众踥蹀而日进兮，美超远而逾迈。
乱曰：曼余目以流观兮，冀一反之何时？
鸟飞反故乡兮，狐死必首丘。
信非吾罪而弃逐兮，何日夜而忘之？","要读懂这首诗，必须了解该诗的历史背景。
楚顷襄王二十一年（公元前278年），秦将白起攻克楚国的郢都。顷襄王仓皇迁都东逃，郢都百姓为避战祸而四散逃亡，原本繁盛的都城一片慌乱。面对此情此景，屈原写下了这篇哀歌。“哀郢”，即哀悼郢都之沦亡，表达了国破家亡的悲哀，以及对楚国统治者的不满。
全诗紧扣“哀”字展开，表达感情的方式非常丰富，淋漓尽致，撕心裂肺。倒数第二句“鸟飞反故乡兮，狐死必首丘”，更是千古绝唱的名句，感情到了这里已经无以复加，诗人至死不忘故都的深挚感情深入肺腑。
全诗布局，先是细致描述郢都被破的场景，着重表达对于百姓四散逃亡的哀恸；其次，讲述撤离故都的心情，随着一步步的远离，对于故土的怀念之情越来越深；最后，从激荡的感情中回复过来，历数致使生灵涂炭的误国小人，并对自己身遭陷害而愤愤不平。明代黄文焕评论道：“通篇分三段，开章至‘东来’，言出国门之愁；‘灵魂’至‘含戚’，言回思之愁；‘承欢’至‘冀反’，痛恨党人被其生离之愁；末乃以求得归死为结局，眸开不得见故乡，目瞑尚及返故土。”
《楚辞评林》认为，《哀郢》是《九章》中最为凄婉的一首，“读之实一字一泪”。的确，有哪种悲哀，比得上国破家亡呢？而屈原作为曾经的当权者之一，未能关照黎民、呵护百姓，当他看到扶老携幼的难民，他怎能不悲痛欲绝？百姓犯了什么错，为什么要让他们无辜遭受如此灾祸？“方仲春而东迁”，春天到了，正是百姓安居乐业的季节。可是，突然间大祸临头了，一国之君仓皇逃离，黎民百姓妻离子散。
诗人随着逃难的人群远离故都。恍恍惚惚中，已经望不见故乡的影子。何处才是终点呢，哪里才是归宿？“望长楸”、“顾龙门”，表现了故土难离的依恋，正所谓一步一回头。愈行愈远，相思愈重。“登大坟以远望兮，聊以舒吾忧心”，依恋、无奈之情无以言说。
全诗的最后一部分，从“哀郢”的情绪中跳出，反思并揭示国破家亡的根源。小人的谄媚误国，君主的糊涂，忠臣的无以施展，都在诗人愤懑强烈的控诉中表达出来。这在屈原的诗中，是一个常见的主题。",4550
垓下歌,项羽,"力拔山兮气盖世。
时不利兮骓不逝。
骓不逝兮可奈何！
虞兮虞兮奈若何！",根据《史记·项羽本纪》的记载，项羽及其败军被刘邦的大军重重包围在垓下。当时，项羽只有少量的伤病残兵，更重要的是已经没有粮食了。在汉军的数重包围下，突围已是不可能，等待他们的只有死路一条。就在这天夜里，四面的汉军大营里响起了楚地的民歌，项羽听到这些歌声，以为汉军已经占领了全部的楚地，更加焦急和沮丧。将士们听到楚歌，纷纷思念家乡，更无战心。项羽唯一依赖的军心也丢了。项羽心神不宁，便一个人坐在军帐内喝酒。项羽望着侍立在身旁的虞姬，又望了望远处的坐骑，不禁悲从中来，即兴作了这首被后人称为“垓下歌”的诗。这短短四句诗，既体现出了项羽以往的所向无敌和英雄气概，又表达了英雄末路的悲哀，读来十分感人。,520000
大风歌,刘邦,"大风起兮云飞扬，
威加海内兮归故乡。
安得猛士兮守四方！","这是为数不多的几首刘邦的诗里最著名的一首，后人给予了很高的评价。宋代的朱熹认为，几千年来，在皇帝所作的诗里，《大风歌》是最壮丽奇伟的一首。另外还有许多人在读了《大风歌》之后，都评论刘邦是真英主、真帝王和真英雄。
《大风歌》主要运用了比兴的手法。在第一句中，刘邦以“风”比喻他自己，以“云”比喻自己手下的文臣武将，表现了刘邦崛起时所向披靡的气势。在第二句中，“威加四海”这四个字表现出刘邦认为，他取得天下其实是水到渠成的事。
相比于前两句，在第三句中，刘邦才透露了一丝忧愁之气：我虽然取得了天下，可是怎么才能得到替我守卫天下的猛将呢？的确如此，当时，帮刘邦打天下的韩信、彭越等大将已被诛杀，黥布也刚刚被他剿灭，手下已经是没有既放心又能干的大将了。刘邦自己也老了，太子又懦弱无能，而朝中意欲谋反的人还有不少，这怎么能不使他担忧和感叹呢？",114000
上邪,曹操,"上邪！
我欲与君相知，长命无绝衰。
山无陵，江水为竭。冬雷震震，
夏雨雪，天地合。乃敢与君绝！",这首诗以呼喊老天爷开始，通篇全是女子对爱人说的话，表达了女子对爱人坚贞不渝的爱情。从具体内容上看，女子先是从正面表明了心思，然后又从反面说明自己不可能“与君绝”的原因，读来令人动容、动情。“山无陵，天地合，乃敢与君绝！”也成了现代男女之间表达心意的常用语。,171000
江南,曹操,"江南可采莲，莲叶何田田。鱼戏莲叶间，
鱼戏莲叶东，鱼戏莲叶西，鱼戏莲叶南，鱼戏莲叶北。",《江南》这首诗描写了江南的劳动人民采莲时的欢乐心情。奇妙的是，作者并没有直接描述这种心情，而是通过描绘水上生机盎然的莲叶和水下自由嬉游的鱼儿，让读者感受到这种欢乐的。从结构上看，这首诗虽然很短，但也分为“唱”、“和”两部分，其中，前三句是采莲人的“唱词”，后四句是众人的“和词”。,7560000
十五从军征,曹操,"十五从军征，八十始得归。
道逢乡里人：“家中有阿谁？”
“遥看是君家，松柏冢累累。”
兔从狗窦入，雉从梁上飞，
中庭生旅谷，井上生旅葵。
舂谷持作饭，采葵持作羹。
羹饭一时熟，不知贻阿谁。
出门东向看，泪落沾我衣。","本书选录的《十五从军征》和《行行重行行》两首诗都是《古诗十九首》中的名篇。《古诗十九首》是梁朝人萧统《文选》里收录的最早的五言古诗，总题为《古诗十九首》。这十九首诗是建安诗的前驱，大约作于东汉末年，作者、题目都已经不可查了，只好以每首诗的第一句作为标题。
从内容上看，这首诗虽然不是很短，但都是一个人遭遇的自述。通过这一番极其凄凉和惨痛的自述，反映了当时兵役制度的不合理和百姓沉重的负担。开头两句“十五从军征，八十始得归“极具震撼力，不仅吸引了读者的注意力，而且一语道破兵役制度的不合理之处。",162000
行行重行行,曹操,"行行重行行，与君生别离。
相去万余里，各在天一涯；
道路阻且长，会面安可知？
胡马依北风，越鸟巢南枝。
相去日已远，衣带日已缓；
浮云蔽白日，游子不顾返。
思君令人老，岁月忽已晚。
弃捐勿复道，努力加餐饭！",《行行重行行》是一首描写离乱的诗，表达了作者对别离的痛恨之情。全诗以清新纯真的语言和形象生动的比喻，描写了妻子对离家远行的丈夫的相思之情。后人评论这首诗时，说它情真、景真、事真、意真，一字千金。由此可见这首诗的精妙。,70800
短歌行,曹操,"对酒当歌，人生几何？譬如朝露，去日苦多。
慨当以慷，忧思难忘。何以解忧？唯有杜康。
青青子衿，悠悠我心。但为君故，沉吟至今。
哟呦鹿鸣，食野之苹。我有嘉宾，鼓瑟吹笙。
明明如月，何时可掇？忧从中来，不可断绝。
越陌度阡，枉用相存。契阔谈宴，心念旧恩。
月明星稀，乌鹊南飞。绕树三匝，何枝可依？
山不厌高，海不厌深。周公吐哺，天下归心。","《短歌行》是诗人按旧题写的新辞，主旨是表达作者求贤若渴的心情和愿意任用人才，以便实现统一天下的抱负。
自《诗经》以来，有很多人学习四言雅颂之体，但大都形式呆板、气韵不足，而诗人却深得《诗经》和汉乐府民歌的精髓，创作出了这样一首四言体的杰作，成为脍炙人口的千古名篇。这首诗融抒情、写景、叙事和说理于一体，在纯正质朴的语言之中贯穿悲凉的心情，用铿锵有力的音韵和宕荡起伏的音调抒发慷慨的心情，意境深远优美，风格丰富多姿，感情真挚深刻。",179000
观沧海,曹操,"东临碣石，以观沧海。
水何澹澹，山岛竦峙。
树木丛生，百草丰茂。
秋风萧瑟，洪波涌起。
日月之行，若出其中；
星汉灿烂，若出其里。
幸甚至哉，歌以咏志。","根据史料记载，汉献帝建安十二年（207年）八月，曹操奇袭鸟桓，取得胜利。在班师回朝的途中，登上今天河北省境内的碣石山，远观沧海，不禁感慨万千，即兴写了这首诗。这首诗描写了碣石山的秋景和大海的壮观，抒发了诗人的豪情壮志和博大胸怀。
《观沧海》共四章，每章都能独立成篇。整首诗想象丰富，气势雄伟。诗人抓住大海景观的外在特征，极力塑造了大海的英雄性格。而诗人之所以着重塑造和刻画大海的英雄性格，是为了表现诗人自己的性格。诗人刻画大海的洪波巨浪，是为了表达自己性格里雄浑无极的一面；描绘日月的纵贯长空，是为了表现自己的经天纬地之才；描述灿烂夺目的星河，是为了表现自己浩瀚博大的胸怀。后世的很多人都很推崇这首诗，就是因为欣赏这首诗所体现出来的豪迈气势和高远境界。",316000
燕歌行,曹丕,"秋风萧瑟天气凉，草木摇落露为霜，
群燕辞归雁南翔。念君客游思断肠，
慊慊思归恋故乡，君何淹留寄他方？
贱妾茕茕守空房，忧来思君不敢忘，不觉泪下沾衣裳。
援琴鸣弦发清商，短歌微吟不能长。
明月皎皎照我床，星汉西流夜未央。
牵牛织女遥相望，尔独何辜限河梁？","据记载和考证，《燕歌行》原为燕地（今河北中北部）的民间音乐，反映的大多是战争和徭役给百姓带来的痛苦。这首诗也不例外，通过一个等待外出服役的丈夫回家的妻子的口吻，反映了当时永无休止的战争和徭役带给百姓的苦难，寄托了诗人对下层百姓苦难生活的同情。
这首诗是我国现存最早、发展最完备的七言古诗，在诗歌发展史上具有重要的地位。从内容上来看，这首诗分为三个层次。第一层的前两句写自然节气的变化，是由宋玉《九辩》中的“悲哉，秋之为气也，草木摇落而变衰”变化而来的。在第一层，作者集中浓墨，着重刻画了一幅风声萧瑟、草木凋落、大雁南飞的秋景。
第二层刻画了妻子情深意切的思念和孤苦不安的忧思。她猜测丈夫此时一定也在思念着她，并因此掀起了一层新的波澜：既然丈夫思念她，又为什么迟迟不归呢？通过她的埋怨，更清晰地反映了她对丈夫的依恋。第三层描写了深夜牛郎织女隔河相望的情景。",25800
白马篇,曹植,"白马饰金羁，连翩西北驰。
借问谁家子？幽并游侠儿。
少小去乡邑，扬声沙漠垂。
宿昔秉良弓，楛矢何参差。
控弦破左的，右发摧月支。
仰手接飞猱，俯身散马蹄。
狡捷过猴猿，勇剽若豹螭。
边城多警急，虏骑数迁移。
羽檄从北来，厉马登高堤。
长驱蹈匈奴，左顾凌鲜卑。
弃身锋刃端，性命安可怀？
父母且不顾，何言子与妻？
名编壮志籍，不得中顾私。
捐躯赴国难，视死忽如归。","《白马篇》又名《游侠篇》，是诗人前期的代表作品，表现了诗人愿意为国家建功立业的迫切心情。当时，诗人风华正茂，以过人的才华、敏捷的文思深得父亲曹操的赏识，因此所作的诗大都体现出了一种少年所特有的雄心壮志。《白马篇》正是其中的代表之作。
就全诗内容来看，咏的不是实人实事，尽管按古题，写的却全是当时的“新鲜事”，由此可见，诗人是根据自己的所见所闻来描写心目中的游侠儿的。可以说，游侠儿的这个形象也是他个人理想的化身，是他的自我写照。最后的“捐躯赴国难，视死忽如归”表达了诗人愿意为国捐躯的心愿，是千古名句。",23800
赠徐干,曹植,"惊风飘白日，忽然归西山。
圆景光未满，众星粲以繁。
志士营世业，小人亦不闲。
聊且夜行游，游彼双阙间。
文昌郁云兴，迎风高中天。
春鸠鸣飞栋，流猋激棂轩。
顾念蓬室士，贫贱诚可怜。
薇藿弗充虚，皮褐犹不全。
慷慨有悲心，兴文自成篇。
宝弃怨何人？和氏有其愆。
弹冠俟知己，知己谁不然？
良田无晚岁，膏泽多丰年。
亮怀玙璠美，积久德愈宣。
亲交义在敦，申章复何言！",根据相关记载可知，徐干是“建安七子”中比较淡泊名利的一位，而且担任的官职一直都很低，因此，徐干的生活可能的确比较清贫，可能正如诗中所描述的那样。但这首诗的立意却不是描写徐干的清贫生活，相反，诗人对徐干处境深表同情和不平。诗人认为，徐干有才有德，但是却不得重用，相反，其他许多平庸之人却被赏识和重用。这与两晋时期诗人左思的《咏史》表达的主题相近。,743000
